단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
dip	verb	내려가다, 내려가지게 하다	/dɪp/	Prices dipped slightly.	가격이 약간 내려갔다.	She dipped the bread in soup.	그녀는 빵을 수프에 담갔다.	하락/담그다
encompass	verb	포함하다, 아우르다	/ɪnˈkʌmpəs/	The course encompasses several topics.	그 강좌는 여러 주제를 포함한다.	The plan encompasses the entire region.	그 계획은 전체 지역을 아우른다.	include보다 공식적
tit for tat	noun phrase	보복 양상, 맞대응	/ˌtɪt fər ˈtæt/	The dispute turned into tit for tat.	그 분쟁은 맞대응 양상으로 바뀌었다.	Tit-for-tat tariffs hurt both sides.	맞대응 관세는 양측 모두에게 피해를 준다.	보복의 반복
multinational	adjective	다국적의	/ˌmʌltiˈnæʃənl/	She works for a multinational company.	그녀는 다국적 기업에서 일한다.	Multinational firms operate in many countries.	다국적 기업은 여러 나라에서 운영된다.	여러 국가
outperform	verb	더 나은 결과를 내다, 능가하다	/ˌaʊtpərˈfɔːrm/	The company outperformed its rivals.	그 회사는 경쟁사보다 더 좋은 성과를 냈다.	The stock outperformed the market.	그 주식은 시장보다 좋은 성과를 냈다.	성과 비교
intensify	verb	심해지다, 강화하다	/ɪnˈtensɪfaɪ/	The conflict intensified.	갈등이 심해졌다.	The company intensified its marketing efforts.	회사는 마케팅 노력을 강화했다.	강도 증가
commodity	noun	상품, 물품, 원자재	/kəˈmɑːdəti/	Oil is an important commodity.	원유는 중요한 원자재이다.	The country exports agricultural commodities.	그 나라는 농산물을 수출한다.	원자재/상품
depress	verb	우울하게 만들다, 가격을 떨어뜨리다	/dɪˈpres/	Bad news depressed investors.	나쁜 소식은 투자자들을 우울하게 했다.	High supply depressed prices.	높은 공급이 가격을 떨어뜨렸다.	감정/가격
rebound	verb	반등하다	/rɪˈbaʊnd/	Prices rebounded after the fall.	가격은 하락 후 반등했다.	The team rebounded from defeat.	그 팀은 패배에서 회복했다.	회복/상승
bushel	noun	부셸, 곡물 단위	/ˈbʊʃl/	Wheat is sold by the bushel.	밀은 부셸 단위로 판매된다.	The farm produced thousands of bushels of corn.	그 농장은 수천 부셸의 옥수수를 생산했다.	곡물 단위
distortion	noun	왜곡, 찌그러뜨림	/dɪˈstɔːrʃn/	The data shows some distortion.	그 데이터는 약간의 왜곡을 보인다.	The lens caused image distortion.	렌즈가 이미지 왜곡을 일으켰다.	형태/사실 왜곡
amid	preposition	~가운데에, ~속에서	/əˈmɪd/	The talks continued amid tension.	긴장 속에서도 회담은 계속되었다.	The company grew amid uncertainty.	그 회사는 불확실성 속에서 성장했다.	상황 배경
portion	noun	부분, 몫, 일부	/ˈpɔːrʃn/	Only a small portion was used.	작은 부분만 사용되었다.	She ate a large portion of rice.	그녀는 밥을 많이 먹었다.	part
reluctant	adjective	꺼리는, 마지못한	/rɪˈlʌktənt/	He was reluctant to answer.	그는 대답하기를 꺼렸다.	She gave a reluctant smile.	그녀는 마지못해 미소 지었다.	be reluctant to
anecdotal	adjective	일화적인, 근거가 약한	/ˌænɪkˈdoʊtl/	The evidence is only anecdotal.	그 증거는 일화적일 뿐이다.	Anecdotal reports suggest improvement.	일화적 보고들은 개선을 시사한다.	강한 증거는 아님
spike upward	verb phrase	솟아오르다, 급등하다	/spaɪk ˈʌpwərd/	Prices spiked upward after the news.	그 소식 이후 가격이 급등했다.	Demand spiked upward suddenly.	수요가 갑자기 치솟았다.	급격한 상승
barometer	noun	지표, 바로미터	/bəˈrɑːmɪtər/	Consumer spending is a barometer of the economy.	소비 지출은 경제의 지표이다.	The survey is a barometer of public opinion.	그 조사는 여론의 지표이다.	상황을 보여 주는 것
hover	verb	맴돌다	/ˈhʌvər/	Prices hovered around $100.	가격은 100달러 근처에서 맴돌았다.	A helicopter hovered above the building.	헬리콥터가 건물 위를 맴돌았다.	근처에 머묾
scarce	adjective	부족한, 드문	/skers/	Water is scarce in the desert.	사막에서는 물이 부족하다.	Jobs were scarce at the time.	그 당시 일자리는 드물었다.	부족
overdue	adjective	기한이 지난, 늦어진	/ˌoʊvərˈduː/	The payment is overdue.	지불 기한이 지났다.	The report is long overdue.	그 보고서는 오래전에 나왔어야 했다.	기한 초과
confirmation	noun	확인, 확정	/ˌkɑːnfərˈmeɪʃn/	We received confirmation of the booking.	우리는 예약 확인을 받았다.	The email is confirmation of your order.	그 이메일은 주문 확인이다.	확인서
outline	verb	개요를 서술하다, 윤곽을 보이다	/ˈaʊtlaɪn/	The report outlines the main problems.	그 보고서는 주요 문제를 개요로 설명한다.	She outlined her proposal.	그녀는 자신의 제안의 윤곽을 설명했다.	요점 제시
overcharge	verb	바가지를 씌우다, 과다 청구하다	/ˌoʊvərˈtʃɑːrdʒ/	The taxi driver overcharged us.	택시 기사가 우리에게 바가지를 씌웠다.	The store was accused of overcharging customers.	그 가게는 고객에게 과다 청구했다는 비난을 받았다.	돈을 너무 많이 받음
united	adjective	단합된, 연합한	/juˈnaɪtɪd/	The team stayed united during the crisis.	그 팀은 위기 동안 단합된 상태를 유지했다.	A united effort can solve the problem.	단합된 노력은 그 문제를 해결할 수 있다.	함께 하나가 된
sanction	noun	제재, 허가, 승인	/ˈsæŋkʃn/	The country faced economic sanctions.	그 나라는 경제 제재를 받았다.	The plan cannot proceed without official sanction.	그 계획은 공식 승인 없이는 진행될 수 없다.	제재/승인 둘 다 가능
entity	noun	독립체, 실체	/ˈentəti/	The company is a separate legal entity.	그 회사는 별도의 법적 독립체이다.	Each entity must submit a report.	각 독립체는 보고서를 제출해야 한다.	법률/조직 표현
executive	adjective	경영의, 행정의	/ɪɡˈzekjətɪv/	She has executive authority.	그녀는 경영 권한을 가지고 있다.	The executive team met this morning.	경영진은 오늘 아침 회의를 했다.	경영 관련
executive	noun	경영 간부, 임원	/ɪɡˈzekjətɪv/	The executive approved the budget.	그 임원은 예산을 승인했다.	Senior executives attended the conference.	고위 임원들이 회의에 참석했다.	회사 간부
illicit	adjective	불법의, 사회적으로 용납되지 않는	/ɪˈlɪsɪt/	The police stopped illicit trade.	경찰은 불법 거래를 막았다.	They were involved in illicit activities.	그들은 불법 활동에 연루되었다.	illegal과 비슷
enforce	verb	집행하다, 강요하다	/ɪnˈfɔːrs/	The police enforce the law.	경찰은 법을 집행한다.	The school enforces strict rules.	학교는 엄격한 규칙을 시행한다.	법/규칙 적용
deputy	noun	부관, 대리, 의원	/ˈdepjuti/	The deputy manager handled the issue.	부관리자가 그 문제를 처리했다.	He works as a deputy in the department.	그는 그 부서에서 대리 역할을 한다.	대신하는 직책
facilitate	verb	가능하게 하다, 용이하게 하다	/fəˈsɪlɪteɪt/	The new system facilitates communication.	새 시스템은 의사소통을 용이하게 한다.	The teacher facilitated the discussion.	선생님은 토론을 원활하게 진행했다.	make easier
Treasury Department	noun phrase	재무부	/ˈtreʒəri dɪˈpɑːrtmənt/	The Treasury Department announced new measures.	재무부는 새 조치를 발표했다.	The report came from the Treasury Department.	그 보고서는 재무부에서 나왔다.	미국 정부 기관
resolution	noun	결의안, 해결	/ˌrezəˈluːʃn/	The council passed a resolution.	의회는 결의안을 통과시켰다.	We need a resolution to the conflict.	우리는 갈등에 대한 해결이 필요하다.	결정/문제 해결
expel	verb	쫓아내다, 추방하다	/ɪkˈspel/	The school expelled the student.	학교는 그 학생을 퇴학시켰다.	The country expelled foreign diplomats.	그 나라는 외교관들을 추방했다.	강제로 내보내다
multilateral	adjective	다자간의, 다각적인	/ˌmʌltiˈlætərəl/	The countries reached a multilateral agreement.	그 국가들은 다자간 협정에 도달했다.	Multilateral talks continued for three days.	다자간 회담은 3일 동안 계속되었다.	여러 당사자
knowingly	adverb	다 알고도, 고의로	/ˈnoʊɪŋli/	He knowingly broke the rule.	그는 알면서도 그 규칙을 어겼다.	The company knowingly sold unsafe products.	그 회사는 위험한 제품을 알면서도 팔았다.	의도성 강조
transaction	noun	거래	/trænˈzækʃn/	The transaction was completed online.	거래는 온라인으로 완료되었다.	Check every bank transaction carefully.	모든 은행 거래를 신중히 확인해라.	금융/매매
on behalf of	phrase	~을 대신하여, ~을 대표하여	/ɑːn bɪˈhæf əv/	I am writing on behalf of the company.	저는 회사를 대표하여 글을 씁니다.	She accepted the award on behalf of her team.	그녀는 팀을 대신해 상을 받았다.	대표 표현
subject to	phrase	~을 조건으로, ~의 적용을 받는	/ˈsʌbdʒekt tuː/	The offer is subject to approval.	그 제안은 승인을 조건으로 한다.	The company is subject to local laws.	그 회사는 현지 법의 적용을 받는다.	조건/규정
chair	verb	의장을 맡다	/tʃer/	She chaired the meeting.	그녀는 회의의 의장을 맡았다.	He will chair the committee next year.	그는 내년에 그 위원회의 의장을 맡을 것이다.	회의 진행
coincide	verb	동시에 일어나다, 일치하다	/ˌkoʊɪnˈsaɪd/	The event coincided with the holiday.	그 행사는 휴일과 동시에 일어났다.	Their opinions coincide on this issue.	그들의 의견은 이 문제에서 일치한다.	시간/의견 일치
muster	verb	모으다, 소집하다	/ˈmʌstər/	He mustered the courage to speak.	그는 말할 용기를 끌어모았다.	The army mustered its forces.	군대는 병력을 소집했다.	힘/사람 모으기
convene	verb	소집하다, 회합하다	/kənˈviːn/	The committee will convene tomorrow.	위원회는 내일 회합할 것이다.	The chairman convened an emergency meeting.	의장은 긴급회의를 소집했다.	회의 표현
trumpet	verb	자랑스럽게 알리다	/ˈtrʌmpɪt/	The company trumpeted its success.	회사는 자신의 성공을 자랑스럽게 알렸다.	The mayor trumpeted the new policy.	시장은 새 정책을 크게 홍보했다.	크게 알림
tolerate	verb	용인하다, 참다	/ˈtɑːləreɪt/	I cannot tolerate rude behavior.	나는 무례한 행동을 참을 수 없다.	The plant tolerates cold weather.	그 식물은 추운 날씨를 견딘다.	참다/견디다
malicious	adjective	악의적인	/məˈlɪʃəs/	The email contained malicious software.	그 이메일에는 악성 소프트웨어가 들어 있었다.	He made a malicious comment.	그는 악의적인 말을 했다.	해를 끼치려는
clock in	phrasal verb	출근 기록을 하다, 기록을 내다	/klɑːk ɪn/	Employees must clock in before work.	직원들은 일하기 전에 출근 기록을 해야 한다.	She clocked in at 8 a.m.	그녀는 오전 8시에 출근 기록을 했다.	근무 시간 기록
session	noun	시간, 회의, 회합	/ˈseʃn/	The training session lasted two hours.	교육 시간은 두 시간 지속되었다.	The committee held a special session.	위원회는 특별 회의를 열었다.	특정 기간/회의
stress	noun	스트레스, 압박, 긴장	/stres/	Work stress affected his health.	업무 스트레스가 그의 건강에 영향을 주었다.	The report highlights financial stress.	그 보고서는 재정적 압박을 강조한다.	압박감
stress	verb	강조하다	/stres/	The teacher stressed the importance of practice.	선생님은 연습의 중요성을 강조했다.	The report stresses safety.	그 보고서는 안전을 강조한다.	emphasize
front company	noun phrase	위장 회사	/frʌnt ˈkʌmpəni/	The criminals used a front company.	범죄자들은 위장 회사를 이용했다.	The front company hid illegal transactions.	그 위장 회사는 불법 거래를 숨겼다.	shell company
scarce	adjective	부족한, 드문	/skers/	Food became scarce during the crisis.	위기 동안 식량이 부족해졌다.	Jobs are scarce in this region.	이 지역에는 일자리가 드물다.	부족/희귀
EDT	noun abbreviation	미국 동부 일광 절약 시간	/ˌiː diː ˈtiː/	The meeting starts at 3 p.m. EDT.	회의는 미국 동부 일광 절약 시간 오후 3시에 시작된다.	EDT is used in summer.	EDT는 여름에 사용된다.	Eastern Daylight Time
prosecute	verb	기소하다, 공소를 제기하다, 추진하다	/ˈprɑːsɪkjuːt/	The state prosecuted the case.	주 정부는 그 사건을 기소했다.	The company prosecuted its strategy aggressively.	그 회사는 전략을 적극적으로 추진했다.	법률/추진
worth	adjective	~할 가치가 있는	/wɜːrθ/	This book is worth reading.	이 책은 읽을 가치가 있다.	The plan is worth considering.	그 계획은 고려할 가치가 있다.	worth + 명사/V-ing
worthy of	adjective phrase	~할 만한, ~에 어울리는	/ˈwɜːrði əv/	The idea is worthy of attention.	그 생각은 주목할 만하다.	Her work is worthy of respect.	그녀의 일은 존경할 만하다.	of 필수
worthwhile	adjective	가치가 있는	/ˌwɜːrθˈwaɪl/	The trip was worthwhile.	그 여행은 가치가 있었다.	It is worthwhile to learn basic grammar.	기초 문법을 배우는 것은 가치 있다.	시간/노력 가치
maneuver	noun	책략, 조작, 기동	/məˈnuːvər/	The move was a clever political maneuver.	그 움직임은 영리한 정치적 책략이었다.	The pilot performed a difficult maneuver.	조종사는 어려운 기동을 수행했다.	책략/움직임
maneuver	verb	조작하다, 기동하다	/məˈnuːvər/	She maneuvered the car into a small space.	그녀는 차를 좁은 공간에 움직여 넣었다.	The politician maneuvered to gain support.	그 정치인은 지지를 얻기 위해 책략을 썼다.	움직임/전략
get acquainted with	phrase	~와 알게 되다, ~에 익숙해지다	/ɡet əˈkweɪntɪd wɪð/	I got acquainted with my new coworkers.	나는 새 동료들과 알게 되었다.	Get acquainted with the system before using it.	사용하기 전에 시스템에 익숙해져라.	사람/사물
get familiar with	phrase	~에 익숙해지다	/ɡet fəˈmɪliər wɪð/	You should get familiar with the software.	너는 그 소프트웨어에 익숙해져야 한다.	She got familiar with the local customs.	그녀는 현지 관습에 익숙해졌다.	익숙함
sit well	phrase	잘 받아들여지다, 마음에 들다	/sɪt wel/	The decision did not sit well with employees.	그 결정은 직원들에게 좋게 받아들여지지 않았다.	His explanation didn’t sit well with me.	그의 설명은 내 마음에 들지 않았다.	부정형 자주 사용
domestically driven	adjective phrase	국내적으로 움직이는, 국내 주도의	/dəˈmestɪkli ˈdrɪvən/	The recovery was domestically driven.	그 회복은 국내 주도였다.	Domestically driven demand supported growth.	국내 주도의 수요가 성장을 뒷받침했다.	경제 표현
stretched down	phrase	길게 늘어진	/stretʃt daʊn/	The road stretched down to the coast.	그 길은 해안까지 길게 이어졌다.	A long shadow stretched down the wall.	긴 그림자가 벽 아래로 늘어졌다.	pulled down
featherless	adjective	깃털이 없는	/ˈfeðərləs/	The featherless bird looked weak.	깃털 없는 새는 약해 보였다.	A featherless chicken appeared in the report.	깃털 없는 닭이 그 보고서에 나왔다.	feather + less
trot	verb	빠르게 걷다, 속보로 걷다	/trɑːt/	The horse trotted along the road.	말은 길을 따라 속보로 걸었다.	The child trotted after his mother.	아이는 엄마 뒤를 종종걸음으로 따라갔다.	말/사람 걸음
hop	verb	깡충 뛰다	/hɑːp/	The rabbit hopped across the field.	토끼가 들판을 깡충 뛰어갔다.	She hopped over the puddle.	그녀는 물웅덩이를 뛰어넘었다.	짧게 뛰다
flutter	verb	펄럭이다, 가볍게 흔들리다	/ˈflʌtər/	The flag fluttered in the wind.	깃발이 바람에 펄럭였다.	Her heart fluttered with excitement.	그녀의 가슴은 흥분으로 두근거렸다.	가벼운 움직임
shiver	verb	떨다	/ˈʃɪvər/	He shivered in the cold.	그는 추위에 떨었다.	She shivered with fear.	그녀는 두려움으로 몸을 떨었다.	추위/공포
vibrate	verb	진동하다	/ˈvaɪbreɪt/	The phone vibrated on the desk.	전화기가 책상 위에서 진동했다.	The machine vibrates loudly.	그 기계는 크게 진동한다.	규칙적 떨림
tremor	noun	미진, 약한 떨림	/ˈtremər/	She felt a slight tremor.	그녀는 약한 떨림을 느꼈다.	The tremor shook the windows.	그 미진은 창문을 흔들었다.	작은 진동
earth tremor	noun phrase	약한 지진	/ɜːrθ ˈtremər/	An earth tremor was felt last night.	어젯밤 약한 지진이 느껴졌다.	The earth tremor caused no damage.	그 약한 지진은 피해를 일으키지 않았다.	earthquake보다 약함
perch	verb	걸터앉다, 앉아 있다	/pɜːrtʃ/	The bird perched on a branch.	새가 나뭇가지에 앉았다.	She perched on the edge of the chair.	그녀는 의자 끝에 걸터앉았다.	높거나 좁은 곳
commotion	noun	소란, 소동	/kəˈmoʊʃn/	There was a commotion outside.	밖에서 소란이 있었다.	The announcement caused a commotion.	그 발표는 소동을 일으켰다.	소리 포함
overhead	adverb	머리 위로	/ˌoʊvərˈhed/	A plane flew overhead.	비행기가 머리 위로 날아갔다.	The lights hung overhead.	조명이 머리 위에 걸려 있었다.	위쪽에
bicker	verb	말다툼하다	/ˈbɪkər/	The children bickered all morning.	아이들은 아침 내내 말다툼했다.	The politicians bickered over small issues.	정치인들은 작은 문제로 말다툼했다.	사소한 다툼
splay	verb	벌리다	/spleɪ/	He splayed his fingers on the table.	그는 손가락을 탁자 위에 벌렸다.	The chair legs splayed outward.	의자 다리가 바깥쪽으로 벌어졌다.	팔다리/손가락
suspend	verb	매달다, 중지하다, 연기하다	/səˈspend/	The lamp was suspended from the ceiling.	램프는 천장에 매달려 있었다.	The school suspended classes for a week.	학교는 수업을 일주일간 중지했다.	걸다/중단
utility pole	noun phrase	전봇대	/juːˈtɪləti poʊl/	The wires were attached to a utility pole.	전선은 전봇대에 붙어 있었다.	A car hit the utility pole.	차가 전봇대를 들이받았다.	전기/통신 기둥
shrug	verb	어깨를 으쓱하다	/ʃrʌɡ/	He shrugged and said nothing.	그는 어깨를 으쓱하고 아무 말도 하지 않았다.	She shrugged off the criticism.	그녀는 비판을 대수롭지 않게 넘겼다.	gesture
senator	noun	상원의원	/ˈsenətər/	The senator supported the bill.	그 상원의원은 그 법안을 지지했다.	Several senators attended the hearing.	여러 상원의원이 청문회에 참석했다.	미국 정치
up for something	phrase	~을 위해 내놓은, ~할 마음이 있는	/ʌp fɔːr ˈsʌmθɪŋ/	The house is up for sale.	그 집은 매물로 나와 있다.	Are you up for a walk?	산책할 마음 있어?	매물/의향
thwart	verb	좌절시키다, 방해하다	/θwɔːrt/	The plan was thwarted by bad weather.	그 계획은 나쁜 날씨 때문에 좌절되었다.	Security measures thwarted the attack.	보안 조치가 공격을 막았다.	계획 방해
outrageous	adjective	너무나도 충격적인, 터무니없는	/aʊtˈreɪdʒəs/	The price is outrageous.	그 가격은 터무니없다.	His behavior was outrageous.	그의 행동은 너무나 충격적이었다.	강한 부정
phishing	noun	피싱, 온라인 사기	/ˈfɪʃɪŋ/	The email was a phishing attempt.	그 이메일은 피싱 시도였다.	Do not click links in phishing messages.	피싱 메시지의 링크를 클릭하지 마라.	인터넷 사기
staunch	adjective	확고한, 충실한	/stɔːntʃ/	She is a staunch supporter of the policy.	그녀는 그 정책의 확고한 지지자이다.	He remained staunch in his beliefs.	그는 자신의 신념에 확고했다.	강한 지지
impersonate	verb	가장하다, 사칭하다	/ɪmˈpɜːrsəneɪt/	The scammer impersonated a bank employee.	사기꾼은 은행 직원을 사칭했다.	He impersonated a famous actor.	그는 유명 배우 흉내를 냈다.	사칭/흉내
incursion	noun	침입, 급습	/ɪnˈkɜːrʒn/	The army reported a border incursion.	군대는 국경 침입을 보고했다.	The company saw an incursion into its market.	그 회사는 자기 시장에 침투가 일어나는 것을 보았다.	갑작스러운 침입
vulnerability	noun	취약성, 약점	/ˌvʌlnərəˈbɪləti/	The system has a security vulnerability.	그 시스템에는 보안 취약점이 있다.	Her vulnerability made her honest.	그녀의 약한 면은 그녀를 솔직하게 만들었다.	약점
reek	verb	지독한 냄새를 풍기다	/riːk/	The room reeked of smoke.	그 방은 담배 냄새가 지독했다.	His plan reeks of dishonesty.	그의 계획은 부정직한 냄새가 난다.	냄새/느낌
constituency	noun	구성원, 선거구, 지지층	/kənˈstɪtʃuənsi/	The senator listened to his constituency.	그 상원의원은 자신의 선거구민 의견을 들었다.	The party appealed to its core constituency.	그 정당은 핵심 지지층에게 호소했다.	정치 표현
crucial	adjective	중대한, 결정적인	/ˈkruːʃl/	Timing is crucial.	시기가 중요하다.	This evidence is crucial to the case.	이 증거는 그 사건에 결정적이다.	매우 중요
meddling	noun	간섭, 참견	/ˈmedlɪŋ/	They complained about foreign meddling.	그들은 외국의 간섭에 항의했다.	His meddling made the problem worse.	그의 참견은 문제를 더 악화시켰다.	불필요한 간섭
proclaim	verb	선언하다, 분명히 보여 주다	/proʊˈkleɪm/	The president proclaimed a national holiday.	대통령은 국경일을 선포했다.	The sign proclaimed the store’s opening.	그 표지판은 가게 개장을 알렸다.	공식 선언
trenchantly	adverb	날카롭게, 예리하게	/ˈtrentʃəntli/	She criticized the policy trenchantly.	그녀는 그 정책을 날카롭게 비판했다.	The article argued trenchantly against corruption.	그 글은 부패에 대해 예리하게 논했다.	강한 비판
sentiment	noun	정서, 감정, 의견	/ˈsentɪmənt/	Public sentiment shifted quickly.	대중의 정서가 빠르게 바뀌었다.	Investor sentiment was negative.	투자자 심리는 부정적이었다.	여론/감정
hoax	noun	거짓말, 날조, 가짜 소동	/hoʊks/	The warning was a hoax.	그 경고는 가짜였다.	The story turned out to be a hoax.	그 이야기는 날조로 드러났다.	속임수
muster	verb	모으다, 끌어내다	/ˈmʌstər/	He mustered enough strength to stand.	그는 설 힘을 끌어모았다.	She mustered support for the campaign.	그녀는 캠페인을 위한 지지를 모았다.	힘/지지
coordinate	verb	조정하다, 조직하다	/koʊˈɔːrdɪneɪt/	We need to coordinate the schedule.	우리는 일정을 조정해야 한다.	The team coordinated relief efforts.	그 팀은 구호 활동을 조직했다.	맞추다
deter	verb	단념시키다, 그만두게 하다	/dɪˈtɜːr/	High prices deter customers.	높은 가격은 고객을 단념시킨다.	The law is designed to deter crime.	그 법은 범죄를 억제하기 위해 만들어졌다.	막다
bluster	verb	고함치다, 허풍을 떨다	/ˈblʌstər/	He blustered about his success.	그는 자기 성공에 대해 허풍을 떨었다.	The manager blustered at the staff.	관리자는 직원들에게 고함쳤다.	허세/소리
sanguine	adjective	낙관적인, 자신감 있는	/ˈsæŋɡwɪn/	She is sanguine about the future.	그녀는 미래에 대해 낙관적이다.	The report sounded surprisingly sanguine.	그 보고서는 놀랄 만큼 낙관적으로 들렸다.	긍정적 전망
shore up	phrasal verb	떠받치다, 강화하다	/ʃɔːr ʌp/	The government tried to shore up the economy.	정부는 경제를 떠받치려 했다.	They used wood to shore up the wall.	그들은 벽을 떠받치기 위해 나무를 사용했다.	지원/보강
bipartisan	adjective	양당의, 초당적인	/ˌbaɪˈpɑːrtɪzn/	The bill received bipartisan support.	그 법안은 초당적 지지를 받았다.	A bipartisan committee reviewed the issue.	양당 위원회가 그 문제를 검토했다.	미국 정치
tackle	verb	다루다, 씨름하다	/ˈtækl/	The government must tackle inflation.	정부는 인플레이션 문제를 다뤄야 한다.	She tackled the problem step by step.	그녀는 그 문제를 단계적으로 해결했다.	어려운 문제 처리
legislation	noun	제정법, 법률	/ˌledʒɪsˈleɪʃn/	The legislation passed Congress.	그 법안은 의회를 통과했다.	New legislation protects consumers.	새 법률은 소비자를 보호한다.	제정된 법
nudge	verb	쿡 찌르다, 살짝 유도하다	/nʌdʒ/	She nudged me with her elbow.	그녀는 팔꿈치로 나를 쿡 찔렀다.	The policy nudges people to save money.	그 정책은 사람들이 돈을 저축하도록 유도한다.	가벼운 자극
rally	noun	대규모 집회	/ˈræli/	The rally attracted thousands of people.	그 집회는 수천 명을 끌어모았다.	They held a rally in the city center.	그들은 시내 중심에서 집회를 열었다.	정치/사회 운동
at the very least	phrase	적어도	/æt ðə ˈveri liːst/	At the very least, you should apologize.	적어도 사과는 해야 한다.	The plan will take a week at the very least.	그 계획은 적어도 일주일은 걸릴 것이다.	최소한
squishy	adjective	질척질척한, 물컹한	/ˈskwɪʃi/	The ground was squishy after the rain.	비가 온 뒤 땅이 질척거렸다.	The toy felt soft and squishy.	그 장난감은 부드럽고 물컹했다.	부드럽고 축축한
smother	verb	덮다, 질식시키다	/ˈsmʌðər/	Smoke smothered the room.	연기가 방을 뒤덮었다.	Do not smother the fire with plastic.	플라스틱으로 불을 덮지 마라.	덮어 막다
toady	noun	아첨꾼	/ˈtoʊdi/	He was seen as a toady to powerful people.	그는 권력자들에게 아첨하는 사람으로 여겨졌다.	No one trusted the office toady.	아무도 사무실의 아첨꾼을 믿지 않았다.	부정적 표현
compel	verb	강요하다, ~하게 만들다	/kəmˈpel/	The law compels companies to report accidents.	그 법은 회사들이 사고를 보고하도록 강제한다.	His story compelled me to act.	그의 이야기는 내가 행동하게 만들었다.	강한 압박
assert	verb	주장하다, 단언하다	/əˈsɜːrt/	She asserted her innocence.	그녀는 자신의 무죄를 주장했다.	The report asserts that prices will rise.	그 보고서는 가격이 오를 것이라고 주장한다.	강하게 말함
infiltrate	verb	잠입하다, 스며들다	/ˈɪnfɪltreɪt/	The spy infiltrated the organization.	스파이는 그 조직에 잠입했다.	Water infiltrated the basement.	물이 지하실로 스며들었다.	몰래 들어감
persistent	adjective	끈질긴, 지속적인	/pərˈsɪstənt/	She made persistent efforts.	그녀는 끈질긴 노력을 했다.	The problem is persistent.	그 문제는 지속적이다.	계속되는
undermine	verb	약화시키다, 기반을 약화하다	/ˌʌndərˈmaɪn/	The scandal undermined public trust.	그 스캔들은 대중의 신뢰를 약화시켰다.	Too much criticism can undermine confidence.	지나친 비판은 자신감을 약화시킬 수 있다.	서서히 약하게 함
hurdle	noun	장애, 난관	/ˈhɜːrdl/	The project faces many hurdles.	그 프로젝트는 많은 난관에 직면해 있다.	Cost is the biggest hurdle.	비용이 가장 큰 장애물이다.	넘어야 할 문제
matter of opinion	noun phrase	의견의 문제	/ˈmætər əv əˈpɪnjən/	Whether it is beautiful is a matter of opinion.	그것이 아름다운지는 의견의 문제이다.	The best movie is a matter of opinion.	최고의 영화는 의견의 문제이다.	주관적 판단
engage	verb	사로잡다, 고용하다, 관계를 맺다	/ɪnˈɡeɪdʒ/	The story engaged the audience.	그 이야기는 관객을 사로잡았다.	The company engaged a consultant.	그 회사는 컨설턴트를 고용했다.	관심/고용
mini-lift	noun	작은 지지, 소폭 상승	/ˈmɪni lɪft/	The announcement gave the market a mini-lift.	그 발표는 시장에 작은 상승 효과를 주었다.	The new feature gave sales a mini-lift.	새 기능은 매출에 작은 지지를 주었다.	little support
interest rate	noun phrase	금리	/ˈɪntrəst reɪt/	The central bank raised the interest rate.	중앙은행은 금리를 올렸다.	Low interest rates encourage borrowing.	낮은 금리는 대출을 장려한다.	이자율
warrant	verb	보증하다, 정당화하다	/ˈwɔːrənt/	The situation warrants further study.	그 상황은 추가 연구를 정당화한다.	The product is warranted for one year.	그 제품은 1년간 보증된다.	근거가 되다
stimulate	verb	자극하다, 활발하게 하다	/ˈstɪmjuleɪt/	The policy stimulated the economy.	그 정책은 경제를 자극했다.	Exercise stimulates blood flow.	운동은 혈류를 자극한다.	활성화
bolster	verb	북돋우다, 강화하다	/ˈboʊlstər/	The data bolstered his argument.	그 데이터는 그의 주장을 강화했다.	The government tried to bolster confidence.	정부는 신뢰를 북돋우려 했다.	지원 강화
monetary	adjective	통화의, 금전적인	/ˈmɑːnɪteri/	The bank changed monetary policy.	은행은 통화 정책을 바꿨다.	The company offered monetary compensation.	회사는 금전적 보상을 제공했다.	돈 관련
prompt	adjective	즉각적인, 신속한	/prɑːmpt/	Thank you for your prompt reply.	신속한 답변 감사합니다.	Prompt action prevented damage.	즉각적인 조치가 피해를 막았다.	빠른
curtail	verb	축소하다, 줄이다	/kərˈteɪl/	The company curtailed spending.	회사는 지출을 줄였다.	The storm curtailed outdoor activities.	폭풍은 야외 활동을 축소시켰다.	제한하다
thesaurus	noun	유의어 사전	/θɪˈsɔːrəs/	Use a thesaurus to find synonyms.	동의어를 찾으려면 유의어 사전을 사용해라.	A thesaurus can improve your writing.	유의어 사전은 글쓰기를 개선할 수 있다.	단어 사전
synonym	noun	동의어, 유의어	/ˈsɪnənɪm/	“Big” is a synonym of “large.”	“Big”은 “large”의 동의어이다.	Find a synonym for this word.	이 단어의 동의어를 찾아라.	비슷한 뜻
antonym	noun	반의어	/ˈæntənɪm/	“Hot” is an antonym of “cold.”	“Hot”은 “cold”의 반의어이다.	Write one antonym for each word.	각 단어의 반의어를 하나씩 써라.	반대말
